ISBN,Title,Authors,Price,Inventory quantity
0-9622-1043-9,Up-sized multimedia hierarchy,"Regina Owens",68,56
0-5862-3461-6,Devolved intangible Graphical User Interface,"Ivan Faulkner",10,42
0-5948-0322-5,Assimilated high-level matrix,"Philip Martin",34,67
1-3419-7335-2,Multi-channeled global productivity,"Shawn Kennedy,Sophia Patterson",57,56
1-5849-0360-0,Stand-alone actuating task-force,"Angela Fernandez,Rebekah Hubbard,Karen Sanchez",80,51
1-5775-8806-1,Centralized national archive,"Stephanie Oneal,Caitlin Tyler,Thomas Palmer",42,78
1-9479-8018-1,Horizontal 4thgeneration alliance,"Sylvia Houston",17,59
0-1133-9635-8,Persevering leadingedge neural-net,"Jennifer Franklin,Michelle Colon",38,67
0-3757-1927-3,Sharable coherent encryption,"Corey Cummings,Cynthia Paul",27,39
0-5235-1009-8,Reactive even-keeled workforce,"Rebecca Page",92,54
0-5050-2287-7,Synergistic well-modulated extranet,"Kyle Rowland,Anthony Zuniga",52,56
1-7877-9726-0,Re-contextualized zero-defect approach,"Joanna Parker",28,45
1-6460-4437-1,Cross-group content-based monitoring,"Heather Williams",68,60
1-0163-7751-7,Optional attitude-oriented utilization,"Tabitha Horton",78,59
0-2695-6157-9,Synchronized system-worthy Internet solution,"Kenneth Lopez,Roger Campbell,Valerie Stephens",60,64
0-0117-5534-2,Organized zero-defect info-mediaries,"James Boyd,Tammy Wilcox",51,41
0-5826-7579-0,Mandatory transitional synergy,"Anita Reed",95,54
1-2627-3437-1,Open-architected intermediate throughput,"Edward Bowers,Joseph Morse,William Higgins",18,45
1-2470-3073-3,Public-key optimizing instruction set,"Lynn Brady",30,51
0-8596-3496-5,Up-sized holistic standardization,"Sierra Briggs,Oscar Barker",50,54
